urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen
0,0,0,1,350,0,0,0,0,-,dreadbox nyx v1 ,selimorgan,Valencia,2022/05/08,2022/09/27,2022/08/30,700
0,0,0,1,350,0,0,0,0,-,modal electronics cobalt 5s ,Luis Martín (Roma 18),Castellón,2022/07/25,2022/09/23,2022/08/30,330
0,0,0,1,900,0,0,0,0,-,moog little phatty stage 2 ,Gergö,Baleares,2021/07/10,2022/09/28,2022/08/30,570
0,0,0,1,420,0,0,0,0,-,último precio doepfer a-100 6u ,manuelariza,Málaga,2022/07/01,2022/08/30,2022/08/30,290
0,0,0,1,480,0,0,0,0,-,mpc live ssd 250 envío incluido ,djoy,Albacete,2022/08/26,2022/10/25,2022/08/30,182
0,0,0,1,105,0,0,0,0,-,synthrotek fold ,moog1406,Girona,2022/01/03,2022/09/20,2022/08/30,496
0,0,0,1,1300,0,0,0,0,-,roland fantom g6 ,NELUQ,Cuenca,2022/07/04,2022/09/18,2022/08/30,568
0,0,1,0,0,0,0,0,0,-,kurzweil k2500x ,chinog,Madrid,2022/08/16,2022/10/17,2022/08/30,286
0,0,0,1,80,0,0,0,0,-,alesis qx49 - controlador midi ,SINTEXIA,Córdoba,2022/07/19,2022/09/17,2022/08/30,204
0,0,0,1,500,0,0,0,0,-,roland mc-909 sampling groovebox ,Rammsysounds,Barcelona,2021/06/22,2022/09/22,2022/08/30,2465
0,0,0,1,23,0,0,0,0,-,korg t3 deslizador volumen ,FranZiskAner,Barcelona,2022/08/28,2022/10/27,2022/08/30,42
0,0,0,1,320,0,0,0,0,-,kordbot isla instruments ,IK3R,Barcelona,2022/02/25,2022/09/27,2022/08/30,926
0,1,0,0,0,0,0,0,0,-,roland sound library pcm1-06 baroque ,mentemodular,Gipuzkoa,2021/04/01,2022/09/07,2022/08/30,588
0,0,0,1,600,0,0,0,0,-,roland d-50 ,subsoniq,Barcelona,2021/12/30,2022/10/10,2022/08/30,1219
