urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,350,0,0,0,0,dreadbox,dreadbox nyx v1 ,Valencia,2022/05/08,2022/09/30,2022/09/01,742,1073
0,0,0,1,350,0,0,0,0,modal electronics ,cobalt 5s ,Castellón,2022/07/25,2022/09/23,2022/09/01,350,1845
0,0,0,1,900,0,0,0,0,moog,moog little phatty stage 2 ,Baleares,2021/07/10,2022/09/28,2022/09/01,584,635
0,0,0,1,1100,0,0,0,0,kawai,kawai mp 11 ,Sevilla,2022/08/31,2022/10/30,2022/09/01,96,1879
0,0,0,1,480,0,0,0,0,mpc,mpc live ssd 250 envío incluido ,Albacete,2022/08/25,2022/10/25,2022/09/01,226,438
0,0,0,1,105,0,0,0,0,synthrotek,synthrotek fold ,Girona,2022/01/03,2022/09/20,2022/09/01,510,637
0,0,0,1,1300,0,0,0,0,roland,roland fantom g6 ,Cuenca,2022/07/04,2022/09/18,2022/09/01,580,389
0,0,1,0,0,0,0,0,0,kurzweil,kurzweil k2500x ,Madrid,2022/08/18,2022/10/17,2022/09/01,320,632
0,0,0,1,80,0,0,0,0,midi,alesis qx49 - controlador midi ,Córdoba,2022/07/19,2022/09/17,2022/09/01,220,613
0,0,0,1,2600,0,0,0,0,yamaha,yamaha genos con maleta ,Girona,2022/09/01,2022/10/31,2022/09/01,62,320
0,0,0,1,500,0,0,0,0,roland,roland mc-909 sampling groovebox ,Barcelona,2021/06/22,2022/09/22,2022/09/01,2483,1301
0,0,0,1,23,0,0,0,0,korg,korg t3 deslizador volumen ,Barcelona,2022/08/28,2022/10/27,2022/09/01,66,1198
0,0,0,1,320,0,0,0,0,instruments,kordbot isla instruments ,Barcelona,2022/02/25,2022/09/27,2022/09/01,956,281
0,1,0,0,0,0,0,0,0,roland,roland sound library pcm1-06 baroque ,Gipuzkoa,2021/04/01,2022/09/29,2022/09/01,606,1293
0,0,0,1,600,0,0,0,0,roland,roland d-50 ,Barcelona,2021/12/30,2022/10/10,2022/09/01,1247,884
0,0,0,1,260,0,0,0,0,m-audio,controlador midi usb m-audio oxygen 88 teclas ,A Coruña,2022/07/22,2022/09/20,2022/09/01,308,940
0,0,0,1,4500,0,0,0,0,-,"varios sintetizadores, cajas ritmo, efectos ",A Coruña,2022/07/22,2022/09/20,2022/09/01,830,1091
0,0,0,1,500,0,0,0,0,yamaha,yamaha su 700 ,Araba,2022/08/27,2022/10/27,2022/09/01,178,743
0,0,0,1,200,0,0,0,0,jomox,jomox t-resonator mkii ,Cádiz,2022/07/09,2022/09/09,2022/09/01,604,719
0,0,0,1,1000,0,0,0,0,pearl,piano pearl river pd180d ,Girona,2020/09/20,2022/10/08,2022/09/01,798,637
0,0,1,0,410,0,0,0,0,poly,poly beebo no ,Las Palmas,2022/06/08,2022/09/20,2022/09/01,343,1101
0,0,0,1,975,0,0,0,0,nord lead ,4 ,Barcelona,2022/04/10,2022/10/07,2022/09/01,1163,850
0,0,0,1,380,0,0,0,0,4ms,4ms quad pingable lfo+quad clock distributor ,Barcelona,2021/10/09,2022/09/27,2022/09/01,1082,1031
0,0,0,1,1111,0,0,0,0,eurorack,módulos eurorack ,Pontevedra,2022/08/25,2022/09/30,2022/09/01,372,964
0,0,0,1,150,0,0,0,0,shakmat modular ,clock o'pawn nuevo ,Barcelona,2022/07/21,2022/09/28,2022/09/01,271,924
0,0,0,1,729,0,0,0,0,moog,moog sub phatty ,Girona,2022/03/09,2022/09/02,2022/09/01,1010,637
1,0,0,1,600,0,0,0,0,behringer,set de tres sintes analógicos enracados behringer ,Guadalajara,2022/06/11,2022/09/11,2022/09/01,1752,482
0,0,0,1,2000,0,0,0,0,modular,sintetizador modular ,Madrid,2022/08/11,2022/09/30,2022/09/01,526,432
0,0,0,1,55,0,0,0,0,roland,dos tarjetas para roland r8 memory card m-256e y contemporary percusion ,Madrid,2022/03/30,2022/09/26,2022/09/01,535,752
0,0,0,1,175,0,0,0,0,-,makenoise st0 ,Madrid,2022/08/29,2022/10/28,2022/09/01,118,843
0,0,0,1,240,0,0,0,0,neutron,neutron semimodular analógico ,Valencia,2021/02/15,2022/09/19,2022/09/01,1252,435
0,0,0,1,525,0,0,0,0,korg,korg modwave + librerias envío incluido ,Cádiz,2022/05/17,2022/10/01,2022/09/01,937,539
0,0,0,1,45,0,0,0,0,mpc,stand akai mpc live 1 fuera stock env incl ,Cádiz,2022/03/09,2022/09/28,2022/09/01,637,481
0,0,0,1,370,0,0,0,0,roland,roland mv30 ,Sevilla,2022/06/05,2022/09/10,2022/09/01,768,914
0,0,0,1,140,0,0,0,0,roland,groovebox roland d2 ,Madrid,2022/03/23,2022/09/26,2022/09/01,858,1293
0,0,0,1,430,0,0,0,0,oto,oto machines oto bam ,Barcelona,2022/08/11,2022/10/13,2022/09/01,288,228
0,0,1,1,0,0,0,0,0,-,modal argon 8 por ,Madrid,2022/08/27,2022/10/26,2022/09/01,205,969
0,0,1,0,0,0,0,0,0,ketron,ketron sd 1000 ,Alicante,2022/08/04,2022/10/05,2022/09/01,210,976
0,0,0,1,460,0,0,0,0,alesis,alesis micron ,Barcelona,2022/08/26,2022/10/25,2022/09/01,170,1278
0,0,0,1,50,0,0,0,0,eurorack,modulos eurorack ultimos-rebajados ,Araba,2020/04/17,2022/09/30,2022/09/01,14612,709
0,0,0,1,525,0,0,0,0,korg,korg krome 61 ,Cuenca,2022/02/07,2022/09/24,2022/09/01,1384,875
0,0,0,1,300,0,0,0,0,akai,akai mpk88 ,Ourense,2022/06/15,2022/09/09,2022/09/01,447,763
0,0,0,1,900,0,0,0,0,korg,korg triton extreme 88 ,Córdoba,2022/07/19,2022/09/17,2022/09/01,456,613
0,0,0,1,120,0,0,0,0,behringer,behringer bcr2000 ,Madrid,2022/08/11,2022/10/13,2022/09/01,234,632
0,0,0,1,175,0,0,0,0,befaco,befaco kickall ,Girona,2022/05/05,2022/09/04,2022/09/01,280,637
0,0,0,1,500,0,0,0,0,korg,sintetizador korg wavestation ex ,Madrid,2022/08/31,2022/10/30,2022/09/01,112,303
0,1,0,0,0,0,0,0,0,nord stage ,3 o electro 6d 73 ,Murcia,2022/06/14,2022/10/01,2022/09/01,392,520
0,0,0,1,25,0,0,0,0,roland,tarjetas roland sn-u110 02 y 12 ,Girona,2022/01/02,2022/09/16,2022/09/01,569,521
0,0,0,1,30,0,0,0,0,korg,delay korg monotron ,Gipuzkoa,2022/08/18,2022/10/19,2022/09/01,172,1388
0,0,0,1,115,0,0,0,0,eurorack,transient 8s secuenciador eurorack de 8 pasos ,Girona,2020/10/30,2022/10/08,2022/09/01,544,637
0,0,0,1,260,0,0,0,0,eurorack,tukra tesseract modular generador de baterias y secuenciador midi eurorack ,Barcelona,2022/08/18,2022/10/17,2022/09/01,266,1576
0,0,0,1,800,0,0,0,0,teenage engineering ,op-1 + funda oficial ,Madrid,2022/05/19,2022/09/07,2022/09/01,686,994
0,0,0,1,250,0,0,0,0,korg,korg ns5r modulo de sonido del korg n264 ,Alicante,2022/01/07,2022/09/23,2022/09/01,876,1153
0,0,0,1,3349,0,0,0,0,-,sequential prophet 5 rev4 ,Bizkaia,2021/02/17,2022/09/26,2022/09/01,7964,533
0,0,0,1,1000,0,0,0,0,hammond,hammond xk-3 ,A Coruña,2021/02/17,2022/09/26,2022/09/01,238,918
0,0,0,1,800,0,0,0,0,yamaha,yamaha modx6 ,Granada,2022/08/18,2022/10/18,2022/09/01,254,1047
0,0,0,1,450,0,0,0,0,-,studiologic sl88 grand ,Madrid,2022/08/18,2022/10/22,2022/09/01,294,1352
0,0,0,1,65,0,0,0,0,akai,akai apc key25 en muy buen estado ,A Coruña,2022/07/02,2022/10/31,2022/09/01,232,535
0,0,0,1,450,0,0,0,0,korg,korg wavestate ,Madrid,2022/07/25,2022/09/28,2022/09/01,640,526
0,0,0,1,60,0,0,0,0,roland,roland memory card 256 ,Granada,2022/06/19,2022/09/27,2022/09/01,422,1203
