urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,350,0,0,0,0,dreadbox,dreadbox nyx v1 ,selimorgan,Valencia,2022/05/08,2022/11/04,2022/11/01,1094,1073
0,0,0,1,390,0,0,0,0,waldorf,waldorf blofeld keyboard blanco ,carlominus,Madrid,2022/09/07,2022/11/26,2022/11/01,373,1085
0,0,0,1,140,0,0,0,0,roland,módulo eurorack roland torcido ,VINIK,Barcelona,2022/09/15,2022/11/14,2022/11/01,381,385
0,0,0,1,120,0,0,0,0,-,ikea stolmen ,Julian Carrara,Madrid,2022/10/18,2022/11/23,2022/11/01,740,1343
0,0,0,1,1200,0,0,0,0,kawai,kawai mp 11 ,Daniel B García,Murcia,2022/10/25,2022/12/22,2022/11/01,114,1434
0,0,1,0,650,0,0,0,0,virus,access virus snow ,spankmeo,Madrid,2022/10/11,2022/12/11,2022/11/01,316,862
0,1,0,0,0,0,0,0,0,-,flight case para teclado ,untitled 01,Barcelona,2022/10/25,2022/12/22,2022/11/01,76,1002
0,0,0,1,40,0,0,0,0,ensoniq,ensoniq mc-32 ,cvsequencer,Barcelona,2022/09/12,2022/11/23,2022/11/01,197,1188
0,0,0,1,1200,0,0,0,0,korg,korg pa3x le con funda ,saimonfun,Madrid,2022/09/26,2022/12/01,2022/11/01,332,976
0,0,0,1,1300,0,0,0,0,roland,roland fantom g6 ,NELUQ,Cuenca,2022/07/04,2022/11/21,2022/11/01,1012,389
0,1,0,0,0,0,0,0,0,roland,roland pg-10 programmer ,Heavengazer,Murcia,2022/10/04,2022/12/06,2022/11/01,126,1136
0,0,0,1,600,0,0,0,0,kurzweil,kurzweil k2500x ,japovaz,Ourense,2022/10/25,2022/11/29,2022/11/01,280,763
0,0,0,1,115,0,0,0,0,make noise ,contour ,Øliveira,Pontevedra,2022/10/18,2022/11/30,2022/11/01,136,964
0,0,0,1,500,0,0,0,0,roland,roland mc-909 sampling groovebox ,Rammsysounds,Barcelona,2021/06/22,2022/11/11,2022/11/01,2839,1301
0,0,0,1,39,0,0,0,0,the,pocket express mark of the unicorn ,Miguel & Mike,Salamanca,2022/10/01,2022/11/28,2022/11/01,379,1103
0,0,0,1,120,0,0,0,0,crumar,controlador hammond midi drawbars tiradores crumar ,pabloevaristo,Alicante,2022/09/29,2022/11/28,2022/11/01,242,1403
0,0,0,1,320,0,0,0,0,instruments,kordbot isla instruments ,IK3R,Barcelona,2022/02/25,2022/11/24,2022/11/01,1258,281
0,1,0,0,0,0,0,0,0,roland,roland sound library pcm1-06 baroque ,mentemodular,Gipuzkoa,2021/04/01,2022/11/22,2022/11/01,672,1293
0,0,0,1,425,0,0,0,0,roland,sampler roland s750 + monitor + ratón + librería ,moogi,Cádiz,2022/09/19,2022/11/26,2022/11/01,732,539
0,0,0,1,290,0,0,0,0,roland,roland system-1 ,Jorge,Asturias,2022/10/11,2022/12/11,2022/11/01,291,503
0,0,0,1,435,0,0,0,0,erica synths ,zen delay ninja tune ,sasl,Valencia,2021/09/23,2022/11/30,2022/11/01,1596,435
0,0,0,1,5000,0,0,0,0,-,"matrixbrute,jd-xa,ax80,vz1,korg 707,yamaha ex5,waldorf,e-mu,roland y mas ",sergiommms,A Coruña,2022/08/17,2022/11/22,2022/11/01,1863,1091
0,0,0,1,375,0,0,0,0,teenage engineering ,op-z ,David Lechus,Madrid,2022/10/25,2022/12/24,2022/11/01,104,1132
