,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen
1,0,0,0,1,200,0,0,0,0,korg,korg 05r w módulo ,Madrid,2023/07/27,2024/11/12,2024/5/17,2490
2,0,0,0,1,1100,0,0,0,0,elektron,elektron analog four mk2 black ,Madrid,2024/05/15,2024/07/14,2024/5/17,72
3,0,0,0,1,650,0,0,0,0,kurzweil,kurzweil pc3 le6 ,Madrid,2023/11/05,2024/11/09,2024/5/17,1588
4,0,0,0,1,1295,0,0,0,0,dexibell,"dexibell j7 órgano, nuevo, envío incluido ",Jaén,2024/05/15,2024/11/11,2024/5/17,70
5,0,0,0,1,330,0,0,0,0,knobula,knobula poly cinematic ,Barcelona,2024/05/13,2024/11/09,2024/5/17,67
6,0,0,0,1,425,0,0,0,0,korg,korg drumlogue ,Bizkaia,2023/01/24,2024/11/11,2024/5/17,3795
7,0,0,1,0,0,0,1,0,0,washburn,"sinte o eurorack, por washburn j3 ",Zaragoza,2024/04/26,2024/11/11,2024/5/17,172
8,0,0,0,1,770,0,0,0,0,roland,roland jv-2080 + 5 expansiones ,A Coruña,2024/04/06,2024/11/10,2024/5/17,351
9,0,0,0,1,315,0,0,0,0,yamaha,yamaha su 700 +usb floppy emulator rebaja por esta semana ,Madrid,2024/02/02,2024/11/10,2024/5/17,1478
10,0,0,0,1,399,0,0,0,0,akai,akai mpk88 ,Pontevedra,2024/03/04,2024/11/09,2024/5/17,556
11,0,0,0,1,19,0,0,0,0,custom,sonidos custom para nord lead a1 ,Cuenca,2018/04/11,2024/11/10,2024/5/17,5980
12,0,0,0,1,980,0,0,0,0,yamaha,órgano yamaha yc25d ,Pontevedra,2024/05/10,2024/11/05,2024/5/17,198
13,0,0,0,1,550,0,0,0,0,yamaha,yamaha dx7 con flightcase ,Málaga,2024/02/05,2024/11/09,2024/5/17,1397
14,0,0,0,1,2950,0,0,0,0,moog,moog minimoog voyager edición signature red ,Araba,2024/05/11,2024/07/10,2024/5/17,148
15,0,0,0,1,430,0,0,0,0,yamaha,yamaha tg77 ,Madrid,2024/01/17,2024/11/06,2024/5/17,1890
16,0,0,0,1,450,0,0,0,0,moog,moog mother 32 ,Las Palmas, ,2024/11/09,2024/5/17,56
17,0,0,0,1,325,0,0,0,0,behringer,behringer pro-800 ,Madrid,2024/04/19,2024/06/12,2024/5/17,427
18,0,1,0,0,0,0,0,0,0,roland,roland fantom 06 ,Valencia,2024/04/26,2024/11/09,2024/5/17,174
19,0,0,1,0,0,0,0,0,0,mpc,librería propia mpc ,Madrid,2023/09/30,2024/11/09,2024/5/17,1243
20,0,0,0,1,540,0,0,0,0,instruo,instruo arbhar v2 modulo de eurorack ,Barcelona,2024/04/13,2024/11/08,2024/5/17,247
21,0,0,0,1,160,0,0,0,0,novation,novation 61sl mk2 ,Madrid,2024/05/13,2024/11/09,2024/5/17,92
22,0,0,0,1,500,0,0,0,0,eurorack,"modulaos eurorack intellijel, mutable instruments, turing machine ",Valencia,2024/04/05,2024/11/11,2024/5/17,329
23,0,0,0,1,355,0,0,0,0,studio,sistema de produccion musical mv-30 studio m incluye manuales ,Zaragoza,2023/06/21,2024/11/07,2024/5/17,2987
24,0,1,0,0,0,0,0,0,0,korg,korg opsix ,Madrid,2024/05/10,2024/11/11,2024/5/17,89
25,0,0,0,1,1100,0,0,0,0,elektron,elektron digitone keys + decksaver ,Madrid,2024/02/12,2024/11/10,2024/5/17,892
26,0,0,0,1,200,0,0,0,0,arturia,arturia beatstep pro ,Madrid,2024/05/13,2024/11/09,2024/5/17,24
27,0,0,0,1,320,0,0,0,0,casio,casio fz10m fz-10m fz1 gotek emulator ,Madrid,2023/12/18,2024/11/12,2024/5/17,2320
28,0,0,0,1,599,0,0,0,0,korg,korg 01 prox con flight case ,Ourense,2024/03/03,2024/11/09,2024/5/17,746
29,0,0,0,1,1095,0,0,0,0,arturia,arturia matrixbrute ,Navarra,2023/09/14,2024/11/09,2024/5/17,1497
30,0,0,0,1,295,0,0,0,0,novation,novation bass station ii ,Barcelona,2024/05/14,2024/11/10,2024/5/17,100
31,0,0,0,1,1350,0,0,0,0,novation,novation summit con decksaver y librerías en barcelona ,Barcelona,2024/05/17,2024/11/12,2024/5/17,116
32,0,1,0,0,0,0,0,0,0,alesis,alesis s4 plus s4+ ,Cantabria,2024/05/14,2024/11/10,2024/5/17,48
