urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen
0,0,0,1,350,0,0,0,0,dreadbox,dreadbox nyx v1 ,selimorgan,Valencia,2022/05/08,2022/09/23,2022/08/26,668
0,0,0,1,350,0,0,0,0,modal electronics ,cobalt 5s ,Luis Martín (Roma 18),Castellón,2022/07/25,2022/09/23,2022/08/26,312
0,0,0,1,900,0,0,0,0,moog,moog little phatty stage 2 ,Gergö,Baleares,2021/07/10,2022/09/28,2022/08/26,548
0,0,0,1,420,0,0,0,0,doepfer,último precio doepfer a-100 6u ,manuelariza,Málaga,2022/07/01,2022/08/30,2022/08/26,272
0,0,0,1,480,0,0,0,0,mpc,mpc live ssd 250 envío incluido ,djoy,Albacete,2022/08/26,2022/10/25,2022/08/26,78
0,0,0,1,105,0,0,0,0,synthrotek,synthrotek fold ,moog1406,Girona,2022/01/03,2022/09/20,2022/08/26,478
0,0,0,1,1300,0,0,0,0,roland,roland fantom g6 ,NELUQ,Cuenca,2022/07/04,2022/09/18,2022/08/26,520
0,0,1,0,0,0,0,0,0,kurzweil,kurzweil k2500x ,chinog,Madrid,2022/08/19,2022/10/17,2022/08/26,256
0,0,0,1,80,0,0,0,0,alesis,alesis qx49 - controlador midi ,SINTEXIA,Córdoba,2022/07/19,2022/09/17,2022/08/26,192
0,0,0,1,500,0,0,0,0,roland,roland mc-909 sampling groovebox ,Rammsysounds,Barcelona,2021/06/22,2022/09/22,2022/08/26,2439
0,0,0,1,320,0,0,0,0,isla,kordbot isla instruments ,IK3R,Barcelona,2022/02/25,2022/09/12,2022/08/26,892
0,1,0,0,0,0,0,0,0,roland,roland sound library pcm1-06 baroque ,mentemodular,Gipuzkoa,2021/04/01,2022/09/07,2022/08/26,582
0,0,0,1,600,0,0,0,0,roland,roland d-50 ,subsoniq,Barcelona,2021/12/30,2022/10/10,2022/08/26,1209
0,0,0,1,260,0,0,0,0,m-audio,controlador midi usb m-audio oxygen 88 teclas ,Agostinho,A Coruña,2022/07/22,2022/09/20,2022/08/26,268
0,0,0,1,7500,0,0,0,0,-,"varios sintetizadores, cajas ritmo, efectos ",sergiommms,A Coruña,2022/07/22,2022/09/20,2022/08/26,580
0,0,0,1,75,0,0,0,0,tiptop,tiptop mixz ,sonicstage,Girona,2022/08/21,2022/10/20,2022/08/26,50
0,0,0,1,1,0,0,0,0,eurorack,varios eurorack ,Aiko N.,Valencia,2022/08/05,2022/10/06,2022/08/26,585
0,0,0,1,200,0,0,0,0,jomox,jomox t-resonator mkii ,Alinter,Cádiz,2022/07/09,2022/09/09,2022/08/26,546
0,0,0,1,1000,0,0,0,0,pearl,piano pearl river pd180d ,moog1406,Girona,2020/09/20,2022/10/08,2022/08/26,764
0,0,1,0,410,0,0,0,0,poly,poly beebo no ,ElmoreFreak,Las Palmas,2022/06/08,2022/09/20,2022/08/26,307
0,0,0,1,950,0,0,0,0,nord lead ,4 ,santibcn,Barcelona,2022/04/10,2022/10/07,2022/08/26,1091
0,0,0,1,380,0,0,0,0,4ms,4ms quad pingable lfo+quad clock distributor ,Replicante,Barcelona,2021/10/09,2022/09/24,2022/08/26,1050
0,0,0,1,1111,0,0,0,0,eurorack,módulos eurorack ,Øliveira,Pontevedra,2022/08/24,2022/10/24,2022/08/26,156
0,0,0,1,150,0,0,0,0,shakmat modular ,clock o'pawn nuevo ,Adrià Gil,Barcelona,2022/07/21,2022/09/25,2022/08/26,241
0,0,0,1,729,0,0,0,0,moog,moog sub phatty ,moog1406,Girona,2022/03/09,2022/09/02,2022/08/26,958
0,0,0,1,600,0,0,0,0,behringer,set de tres sintes analógicos enracados behringer ,Abird,Guadalajara,2022/06/11,2022/09/11,2022/08/26,1698
0,0,0,1,2000,0,0,0,0,modular,sintetizador modular ,soma,Madrid,2022/08/12,2022/09/19,2022/08/26,374
0,0,0,1,300,0,0,0,0,dreadbox,dreadbox typhon nuevo en garantia ,dxosmuzik,Madrid,2022/08/23,2022/10/22,2022/08/26,122
0,0,0,1,55,0,0,0,0,roland,dos tarjetas para roland r8; memory card m-256e y contemporary percusion ,int3rc0m,Madrid,2022/03/30,2022/09/22,2022/08/26,501
0,0,0,1,240,0,0,0,0,neutron,neutron semimodular analógico ,sasl,Valencia,2021/02/15,2022/09/19,2022/08/26,1216
0,0,0,1,525,0,0,0,0,korg,korg modwave + librerias ,moogi,Cádiz,2022/05/17,2022/09/23,2022/08/26,852
0,0,0,1,45,0,0,0,0,mpc,stand akai mpc live 1 fuera stock env incl ,PETZOO,Cádiz,2022/03/09,2022/09/23,2022/08/26,603
0,0,0,1,370,0,0,0,0,roland,roland mv30 ,Frabcusci,Sevilla,2022/06/05,2022/09/10,2022/08/26,718
0,0,0,1,140,0,0,0,0,arturia,arturia beatsep pro impecable ,dxosmuzik,Madrid,2022/08/23,2022/10/22,2022/08/26,98
0,0,0,1,140,0,0,0,0,roland,groovebox roland d2 ,manolo garcia,Madrid,2022/03/23,2022/09/05,2022/08/26,812
0,0,0,1,430,0,0,0,0,-,oto machines oto bam ,PLH,Barcelona,2022/08/12,2022/10/13,2022/08/26,260
0,0,1,0,0,0,0,0,0,ketron,ketron sd 1000 ,joseluis11,Alicante,2022/08/05,2022/10/05,2022/08/26,180
0,0,0,1,460,0,0,0,0,alesis,alesis micron ,finaldesousa,Barcelona,2022/08/26,2022/10/25,2022/08/26,18
0,0,0,1,50,0,0,0,0,eurorack,modulos eurorack ultimos-rebajados ,curve259,Araba,2020/04/17,2022/09/04,2022/08/26,14517
0,0,0,1,525,0,0,0,0,korg,korg krome 61 ,ELKE_FALTABA,Cuenca,2022/02/07,2022/09/24,2022/08/26,1340
0,0,0,1,300,0,0,0,0,akai,akai mpk88 ,japovaz,Ourense,2022/06/15,2022/09/09,2022/08/26,421
0,0,0,1,900,0,0,0,0,korg,korg triton extreme 88 ,SINTEXIA,Córdoba,2022/07/19,2022/09/17,2022/08/26,406
0,0,0,1,120,0,0,0,0,behringer,behringer bcr2000 ,chinog,Madrid,2022/08/12,2022/10/13,2022/08/26,182
0,0,0,1,175,0,0,0,0,befaco,befaco kickall ,moog1406,Girona,2022/05/05,2022/09/04,2022/08/26,250
0,1,0,0,0,0,0,0,0,nord stage ,3 compact o electro 6d 73 ,kike22,Murcia,2022/06/14,2022/09/23,2022/08/26,354
0,0,0,1,25,0,0,0,0,roland,tarjetas roland sn-u110 02 y 12 ,Onyar,Girona,2022/01/02,2022/09/16,2022/08/26,543
0,0,0,1,30,0,0,0,0,korg,delay korg monotron ,El Corto Adiós,Gipuzkoa,2022/08/20,2022/10/19,2022/08/26,128
0,0,0,1,115,0,0,0,0,eurorack,transient 8s secuenciador eurorack de 8 pasos ,moog1406,Girona,2020/10/30,2022/10/08,2022/08/26,524
0,0,0,1,260,0,0,0,0,eurorack,tukra tesseract modular generador de baterias y secuenciador midi eurorack ,Blasting Modular,Barcelona,2022/08/19,2022/10/17,2022/08/26,228
0,0,0,1,800,0,0,0,0,teenage,teenage engineering op-1 + funda oficial ,vulgatron,Madrid,2022/05/19,2022/09/07,2022/08/26,648
0,0,0,1,250,0,0,0,0,korg,korg ns5r modulo de sonido del korg n264 ,Pablo Bauzá,Alicante,2022/01/07,2022/09/23,2022/08/26,834
0,0,0,1,3349,0,0,0,0,sequential,sequential prophet 5 rev4 ,Storm,Bizkaia,2021/02/17,2022/09/22,2022/08/26,7894
0,0,0,1,1000,0,0,0,0,hammond,hammond xk-3 ,facallema,A Coruña,2021/02/17,2022/10/20,2022/08/26,164
0,0,0,1,800,0,0,0,0,yamaha,yamaha modx6 ,ARPEGGIATORNIK,Granada,2022/08/19,2022/10/18,2022/08/26,182
0,0,0,1,450,0,0,0,0,-,studiologic sl88 grand ,Armando Ferrer,Madrid,2022/08/19,2022/10/22,2022/08/26,222
0,0,0,1,450,0,0,0,0,korg,korg wavestate ,davne,Madrid,2022/07/25,2022/09/24,2022/08/26,534
0,0,0,1,60,0,0,0,0,roland,roland memory card 256 ,Súper-Bebé,Granada,2022/06/19,2022/09/13,2022/08/26,394
0,0,0,1,49,0,0,0,0,swissonic,swissonic easykey 25 ,moog1406,Girona,2022/06/02,2022/10/04,2022/08/26,270
0,0,0,1,250,0,0,0,0,m-audio,teclado midi m-audio axiom pro 49 ,esferarocks,Bizkaia,2017/09/10,2022/10/13,2022/08/26,711
0,0,0,1,259,0,0,0,0,arturia,arturia drumbrute ,moog1406,Girona,2022/04/07,2022/09/10,2022/08/26,554
0,0,0,1,55,0,0,0,0,eurorack,intellijel buff multiple · eurorack ,David,Valladolid,2022/07/14,2022/09/12,2022/08/26,288
0,0,0,1,550,0,0,0,0,roland,roland fantom s 61 ,mikysound,Alicante,2022/07/11,2022/09/09,2022/08/26,422
0,0,0,1,250,0,0,0,0,eurorack,eurorack bubble sound dualsem20 ,siropene,Madrid,2022/08/22,2022/09/25,2022/08/26,74
0,0,0,1,219,0,0,0,0,doepfer,doepfer a-100lc3v low cost case vintage edition ,Storm,Bizkaia,2022/05/25,2022/09/25,2022/08/26,535
0,0,0,1,460,0,0,0,0,eurorack,eurorack loquelic iteritas percido ,siropene,Madrid,2022/08/22,2022/09/25,2022/08/26,78
0,0,0,1,250,0,0,0,0,korg,korg sp250 nuevo sin uso con atril y banqueta ,Musico 28,Zaragoza,2022/07/07,2022/09/05,2022/08/26,457
0,0,0,1,2250,0,0,0,0,korg,korg kronos 2 ,davne,Madrid,2022/07/25,2022/09/24,2022/08/26,666
0,0,0,1,59,0,0,0,0,yamaha,yamaha vrc 101 keyboard plucked & tuned percussion group ,moog1406,Girona,2021/06/28,2022/09/26,2022/08/26,262
0,0,0,1,0,0,0,0,0,-,"varios módulos make noise, mutable, cwejman en estado impecable ",funfanatic,Barcelona,2022/07/07,2022/09/05,2022/08/26,622
0,0,1,0,0,0,0,0,0,roland,roland s-220 sampler ,elprofesordedanza,Tarragona,2022/07/05,2022/09/20,2022/08/26,435
0,0,0,1,499,0,0,0,0,-,modal argon8 ,Storm,Bizkaia,2021/03/29,2022/09/25,2022/08/26,4198
0,0,0,1,249,0,0,0,0,zoom,zoom arq anillo sintetizador nuevo ,moog1406,Girona,2022/06/10,2022/09/04,2022/08/26,443
0,0,0,1,620,0,0,0,0,soma,soma lyra-8 ,roy242,Valencia,2022/08/24,2022/10/23,2022/08/26,144
0,1,0,0,0,0,0,0,0,doepfer,doepfer a-106-5 sem filter ,Wallace,La Rioja,2022/07/16,2022/09/24,2022/08/26,174
0,0,0,1,2800,0,0,0,0,sequential,prophet sequential x ,luca7,Madrid,2022/08/12,2022/10/08,2022/08/26,198
0,0,0,1,350,0,0,0,0,-,microkorg s ,Misspocoyo,Córdoba,2022/08/19,2022/10/17,2022/08/26,186
0,0,0,1,580,0,0,0,0,-,tarjeta exb-moss ,Carlos,Madrid,2022/08/20,2022/10/19,2022/08/26,140
0,0,0,1,160,0,0,0,0,eurorack,expert sleepers disting mk4 - módulo eurorack ,Darth Synth,Barcelona,2022/06/11,2022/09/13,2022/08/26,330
0,0,0,1,130,0,0,0,0,mutable,mutable instruments braids clone ,Wallace,La Rioja,2022/07/04,2022/09/10,2022/08/26,252
0,0,0,1,930,0,0,0,0,nord lead ,3 ,Dmode,Barcelona,2022/02/12,2022/09/20,2022/08/26,442
0,0,0,1,160,0,0,0,0,moog,moog werkstatt 01 + cv expander ,Darth Synth,Barcelona,2022/06/20,2022/09/13,2022/08/26,455
0,0,0,1,1350,0,0,0,0,kawai,sintetizador kawai sx-210 ,finess7,Huelva,2022/02/14,2022/09/20,2022/08/26,1369
0,0,0,1,430,0,0,0,0,moog,moog mother 32 ,Socri,Sevilla,2022/08/12,2022/09/20,2022/08/26,262
0,0,0,1,1200,0,0,0,0,hammond,hammond l122 recien restaurado ,organero,Cádiz,2021/07/24,2022/08/31,2022/08/26,659
0,0,0,1,1070,0,0,0,0,asm,asm hydrasynth ,sasl,Valencia,2021/09/03,2022/09/19,2022/08/26,3182
0,0,0,1,930,0,0,0,0,novation,novation peak ,roy242,Valencia,2022/08/19,2022/09/24,2022/08/26,168
0,0,0,1,210,0,0,0,0,electribe,korg electribe s mk2 ,drumax,Valencia,2019/06/19,2022/09/23,2022/08/26,1853
0,0,0,1,125,0,0,0,0,-,maleta sintetizador 61 aluminio ,jose,Murcia,2022/05/28,2022/09/25,2022/08/26,391
0,0,0,1,70,0,0,0,0,yamaha,flightcase yamaha p 80 ,liradigital MRF,Madrid,2022/04/11,2022/09/21,2022/08/26,475
0,0,0,1,119,0,0,0,0,yamaha,yamaha rev 500 ,moog1406,Girona,2021/12/23,2022/09/23,2022/08/26,804
0,0,1,0,0,0,0,0,0,quiklok,soporte quiklok en perfecto estado ,elprofesordedanza,Tarragona,2022/07/21,2022/09/22,2022/08/26,402
