urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,0,0,0,0,0,radikal,"sintetizador radikal technologies accelerator, envio incluido ",rolandhispasonic,Jaén,2023/05/28,2023/07/01,2023/06/04,314,1713
0,0,0,1,0,0,0,0,0,mpc,akai mpc 61 keys nuevo ,Luisrro,Gipuzkoa,2023/05/28,2023/06/30,2023/06/04,202,752
0,0,0,1,0,0,0,0,0,roland,roland fantom x8 ,Aguilar242,Navarra,2023/05/07,2023/06/28,2023/06/04,266,861
0,0,0,1,0,0,0,0,0,roland,roland tr8 ,trocol,Madrid,2023/05/03,2023/06/29,2023/06/04,240,659
0,0,0,1,0,0,0,0,0,korg,korg wavestate ,Markus,Granada,2023/05/30,2023/07/29,2023/06/04,78,627
0,0,0,1,0,0,0,0,0,decksaver,akai force + decksaver + opx4 ,dce,Sevilla,2023/05/28,2023/07/25,2023/06/04,156,300
0,0,0,1,0,0,0,0,0,roland,roland 1976 analog synth genesis cure camel string machine ,TheMix,Pontevedra,2022/12/29,2023/06/28,2023/06/04,1243,591
0,0,0,1,0,0,0,0,0,-,leslie 760 n autónomo ,windbass,Zaragoza,2020/06/16,2023/07/02,2023/06/04,2646,859
0,0,0,1,0,0,0,0,0,octatrack,elektron octatrack mki + 2 tarjetas 64gb y 16gb ,Javier m,Córdoba,2022/10/12,2023/06/29,2023/06/04,927,750
0,0,1,0,0,0,0,0,0,korg,o sintetizador teclado korg tr 88 workstation ,txominzar,Gipuzkoa,2023/05/21,2023/07/02,2023/06/04,226,1004
0,0,0,1,0,0,0,0,0,-,piano de cola tchaika ,patumbao,Zaragoza,2022/11/14,2023/07/03,2023/06/04,1111,857
0,0,0,1,0,0,0,0,0,studio,controlador fatar studio 900 ,dmaio2002us,Murcia,2022/10/31,2023/06/27,2023/06/04,1906,950
1,0,0,1,0,0,0,0,0,yamaha,cartucho rom yamaha dx7s ,int3rc0m,Madrid,2022/02/27,2023/07/02,2023/06/04,1096,752
0,0,0,1,0,0,0,0,0,-,alm dinky`s taiko ,Lauki,Bizkaia,2023/06/04,2023/08/03,2023/06/04,66,502
0,0,1,0,0,0,0,0,0,roland,roland jp8080 ,AKD,Madrid,2023/05/07,2023/07/04,2023/06/04,553,208
0,0,0,1,0,0,0,0,0,roland,roland mc101 ,trocol,Madrid,2023/04/28,2023/06/30,2023/06/04,242,659
0,0,0,1,0,0,0,0,0,hammond,"hammond sk pro 73, envio incluido ",rolandhispasonic,Jaén,2023/05/28,2023/07/01,2023/06/04,194,1713
0,0,0,1,0,0,0,0,0,roland,sintetizador roland spv-355 ,finess7,Huelva,2022/08/20,2023/06/26,2023/06/04,1769,703
0,0,0,1,0,0,0,0,0,m-audio,teclado controlador m-audio oxigen pro mini ,Javier,Soria,2023/05/30,2023/07/29,2023/06/04,87,609
0,0,0,1,0,0,0,0,0,the,"piano rhodes mark ii suitcase eighty eight 88, the top model! ",logan3,Madrid,2022/12/23,2023/07/02,2023/06/04,1147,580
0,0,0,1,0,0,0,0,0,eurorack,varios sintes y módulos eurorack ,Nöise&Vice,Córdoba,2023/04/17,2023/06/29,2023/06/04,2739,1074
0,0,0,1,0,0,0,0,0,-,tarjeta smart media 128mb mas adaptador ,int3rc0m,Madrid,2020/09/01,2023/07/02,2023/06/04,1981,752
0,0,0,1,0,0,0,0,0,befaco,befaco percall ,Raul Q. de Orte,Barcelona,2023/04/13,2023/07/02,2023/06/04,317,1238
0,0,0,1,0,0,0,0,0,-,icon ikeyboard 5x teclado controlador ,serieb,Lugo,2023/02/20,2023/07/01,2023/06/04,453,634
0,0,0,1,0,0,0,0,0,elektron,elektron analog heat mki ,Javier m,Córdoba,2023/02/03,2023/06/29,2023/06/04,484,750
0,0,0,1,0,0,0,0,0,virus,access virus a ,larch,Gipuzkoa,2022/09/05,2023/07/02,2023/06/04,2175,522
0,0,0,1,0,0,0,0,0,roland,módulo batería roland r-8m y 2 tarjetas de sonido ,Angel,Madrid,2022/11/14,2023/06/30,2023/06/04,1201,487
0,1,0,0,0,0,0,0,0,make noise ,strega ,sasl,Valencia,2023/05/30,2023/07/29,2023/06/04,68,435
0,0,0,1,0,0,0,0,0,-,"acordeon stela 34 teclas-60 bajos, ",patumbao,Zaragoza,2020/11/16,2023/07/03,2023/06/04,1021,857
0,0,0,1,0,0,0,0,0,roland,reservado roland fantom 06 ,Lolo López,Tarragona,2023/05/29,2023/07/28,2023/06/04,202,1092
0,0,0,1,0,0,0,0,0,nord electro ,"6d 61,waterfall ",antonius32,Madrid,2023/05/21,2023/07/20,2023/06/04,246,982
0,1,0,0,0,0,1,0,0,yamaha,tarjeta expansion yamaha plg-150-an ,bodo kuznik,Baleares,2023/05/28,2023/07/25,2023/06/04,82,1120
0,0,0,1,0,0,0,0,0,casio,teclado casio ctk631 ,otro_yo,Madrid,2023/03/31,2023/06/28,2023/06/04,226,779
