,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen
1,0,0,0,1,200,0,0,0,0,korg,korg 05r w módulo ,Madrid,2023/07/27,2024/11/12,2024/5/26,2508
2,0,0,0,1,650,0,0,0,0,kurzweil,kurzweil pc3 le6 ,Madrid,2023/11/05,2024/11/17,2024/5/26,1632
3,0,0,0,1,1295,0,0,0,0,dexibell,"dexibell j7 órgano, nuevo, envío incluido ",Jaén,2024/05/19,2024/11/16,2024/5/26,140
4,0,0,0,1,450,0,0,0,0,roland,roland juno 1 ,Barcelona,2024/05/23,2024/11/17,2024/5/26,129
5,0,0,0,1,330,0,0,0,0,knobula,knobula poly cinematic ,Barcelona,2024/05/12,2024/11/18,2024/5/26,99
6,0,0,0,1,429,0,0,0,0,korg,korg drumlogue ,Bizkaia,2023/01/24,2024/11/19,2024/5/26,3821
7,0,0,0,1,85,0,0,0,0,erica synths ,pico drums ,Valencia,2023/07/12,2024/11/18,2024/5/26,1520
8,0,0,0,1,379,0,0,0,0,akai,akai mpk88 ,Pontevedra,2024/03/04,2024/11/09,2024/5/26,586
9,0,0,0,1,19,0,0,0,0,custom,sonidos custom para nord lead a1 ,Cuenca,2018/04/11,2024/11/16,2024/5/26,5996
10,0,0,0,1,550,0,0,0,0,yamaha,yamaha dx7 con flightcase ,Málaga,2024/02/05,2024/11/17,2024/5/26,1455
11,0,0,0,1,2300,0,0,0,0,moog,moog minimoog voyager edición signature red + flighcase ,Araba,2024/05/12,2024/07/10,2024/5/26,196
12,0,0,0,1,430,0,0,0,0,yamaha,yamaha tg77 ,Madrid,2024/01/17,2024/11/19,2024/5/26,1918
13,0,0,0,1,1200,0,0,0,0,roland,roland jx-3p + pg200 ,Málaga,2024/04/19,2024/10/16,2024/5/26,334
14,0,0,0,1,320,0,0,0,0,behringer,behringer pro-800 ,Madrid,2024/04/20,2024/06/22,2024/5/26,514
15,0,0,0,1,200,0,0,0,0,yamaha,piano yamaha piagero np 30 ,Huesca,2024/05/22,2024/11/15,2024/5/26,103
16,0,1,0,0,0,0,0,0,0,roland,roland fantom 06 ,Valencia,2024/04/23,2024/11/20,2024/5/26,196
17,0,0,0,1,280,0,0,0,0,arturia,arturia microfreak vocoder edition ,Madrid,2024/05/22,2024/06/23,2024/5/26,80
18,0,0,0,1,480,0,0,0,0,digitakt,digitakt elektron ,Madrid,2024/04/28,2024/06/06,2024/5/26,408
19,0,0,0,1,480,0,0,0,0,modal,modal argon 8m ,Guadalajara,2023/05/30,2024/11/16,2024/5/26,944
20,0,0,0,1,470,0,0,0,0,native,licencias de native instruments arkhis sequis lores playbox schema ,Madrid,2024/03/12,2024/11/19,2024/5/26,321
21,0,0,0,1,220,0,0,0,0,arturia,arturia beatstep pro ,Guadalajara,2023/05/30,2024/11/16,2024/5/26,794
22,0,0,0,1,1095,0,0,0,0,arturia,arturia matrixbrute ,Navarra,2023/09/14,2024/11/13,2024/5/26,1543
23,0,1,0,0,0,0,0,0,0,make noise ,lxd ,Barcelona,2024/03/10,2024/06/19,2024/5/26,268
24,0,1,0,0,0,0,0,0,0,alesis,alesis s4 plus s4+ ,Cantabria,2024/05/19,2024/11/19,2024/5/26,74
25,0,0,0,1,175,0,0,0,0,mutable,mutable instruments peaks ,Barcelona,2024/05/21,2024/11/15,2024/5/26,70
26,0,0,0,1,750,0,0,0,0,elektron,elektron syntakt ,Madrid,2024/05/12,2024/06/20,2024/5/26,193
27,0,0,0,1,375,0,0,0,0,casio,teclado casio celviano ap80r ,Barcelona,2023/10/10,2024/11/17,2024/5/26,1694
28,0,0,0,1,440,0,0,0,0,pioneer,pioneer toraiz squid ,Barcelona,2024/02/15,2024/06/20,2024/5/26,976
29,0,0,0,1,355,0,0,0,0,roland,unidad de de producción musical roland mv-30 ver videos demo ,Zaragoza,2023/01/25,2024/11/19,2024/5/26,4120
